Date,Opening,Closing,Variation,Minimum,Maximum
06/02/2025,125.146,126.225,0,55,125.249,126.399
05/02/2025,125.964,125.534,0,31,124.637,125.846
04/02/2025,126.135,125.147,-0,65,124.694,125.964
03/02/2025,126.135,125.970,-0,13,125.566,126.473
31/01/2025,126.914,126.135,-0,61,126.057,127.532
30/01/2025,124.056,126.913,2,82,123.432,127.169
29/01/2025,124.861,123.432,-0,5,123.278,124.767
28/01/2025,122.443,124.056,-0,65,123.973,124.881
27/01/2025,122.443,124.862,1,97,122.207,124.862
24/01/2025,122.965,122.447,-0,03,122.196,122.908
23/01/2025,123.345,122.483,-0,4,122.159,123.958
22/01/2025,122.850,122.972,-0,3,122.926,123.865
21/01/2025,122.349,123.338,0,39,122.290,123.462
20/01/2025,122.349,122.855,0,41,121.511,123.172
17/01/2025,122.649,122.350,0,92,121.074,122.674
16/01/2025,119.309,121.234,-1,15,120.796,122.660
15/01/2025,119.309,122.650,2,81,119.303,122.988
14/01/2025,119.007,119.299,0,25,118.223,119.451
13/01/2025,118.856,119.007,0,13,118.743,119.729
10/01/2025,119.625,118.856,-0,77,118.732,120.052
09/01/2025,121.160,119.781,0,13,119.502,120.145
08/01/2025,120.022,119.625,-1,27,119.351,121.160
07/01/2025,120.022,121.163,0,95,120.022,121.713
06/01/2025,118.534,120.022,1,26,118.534,120.322
03/01/2025,120.283,118.533,-1,33,118.404,120.356
02/01/2025,120.267,120.125,-0,13,119.120,120.782
30/12/2024,120.267,120.283,0,01,120.158,121.050
27/12/2024,120.767,120.269,-0,67,120.252,121.609
26/12/2024,122.105,121.078,0,26,120.428,121.612
20/12/2024,120.768,122.102,0,75,120.700,122.209
19/12/2024,124.699,121.188,-0,1,120.768,121.770
18/12/2024,123.560,121.314,-2,71,120.942,124.699
17/12/2024,124.610,124.698,0,92,123.560,125.301
16/12/2024,124.610,123.560,-0,84,123.495,124.956
13/12/2024,126.102,124.612,-1,13,124.578,126.290
12/12/2024,129.587,126.042,-2,74,125.829,129.587
11/12/2024,128.228,129.593,1,06,127.362,130.899
10/12/2024,125.946,128.228,0,8,127.213,128.511
09/12/2024,125.946,127.210,1,125.946,127.542
06/12/2024,126.088,125.946,-1,5,125.833,127.872
05/12/2024,126.139,127.858,1,4,126.087,127.989
04/12/2024,125.235,126.087,-0,04,125.828,126.720
03/12/2024,125.668,126.139,0,72,125.233,126.417
02/12/2024,125.668,125.236,-0,34,124.734,125.901
29/11/2024,124.611,125.668,0,85,123.946,126.056
28/11/2024,127.667,124.610,-2,4,124.390,127.668
27/11/2024,129.923,127.669,-1,73,127.669,130.283
26/11/2024,129.125,129.922,0,69,129.042,130.361
22/11/2024,128.197,129.126,1,74,126.944,129.126
21/11/2024,127.768,126.922,-0,99,126.594,128.197
19/11/2024,127.791,128.197,0,34,127.235,128.579
18/11/2024,127.791,127.768,-0,02,127.226,128.277
14/11/2024,127.698,127.792,0,05,127.389,128.423
13/11/2024,127.873,127.734,0,03,126.869,128.100
12/11/2024,127.829,127.698,-0,14,127.411,128.210
11/11/2024,127.829,127.874,0,03,127.306,128.095
08/11/2024,130.341,127.830,-1,43,126.973,129.647
07/11/2024,130.613,129.682,-0,51,129.406,131.319
06/11/2024,130.515,130.341,-0,24,128.822,130.670
05/11/2024,128.130,130.661,0,11,129.692,130.769
04/11/2024,128.130,130.515,1,87,128.128,130.609
01/11/2024,130.639,128.121,-1,23,128.070,129.902
31/10/2024,130.730,129.713,-0,71,129.642,130.798
30/10/2024,131.214,130.639,-0,07,130.473,131.027
29/10/2024,131.214,130.730,-0,37,130.693,131.765
28/10/2024,129.894,131.213,1,02,129.894,131.421
25/10/2024,129.233,129.893,-0,13,129.806,130.529
24/10/2024,129.949,130.067,0,65,128.798,130.130
23/10/2024,130.346,129.233,-0,55,128.589,129.949
22/10/2024,130.499,129.951,-0,31,129.094,130.346
21/10/2024,130.499,130.362,-0,11,130.157,131.124
18/10/2024,131.716,130.499,-0,22,130.121,131.725
17/10/2024,131.045,130.793,-0,73,129.902,131.716
16/10/2024,131.005,131.750,0,54,130.780,132.233
15/10/2024,129.992,131.043,0,03,130.200,131.457
11/10/2024,129.963,129.992,-0,28,129.338,130.354
10/10/2024,131.510,130.353,0,3,129.835,130.418
09/10/2024,132.016,129.962,-1,18,129.719,131.520
08/10/2024,131.792,131.512,-0,38,130.371,132.016
07/10/2024,131.792,132.018,0,17,131.676,132.943
04/10/2024,133.514,131.792,0,09,131.156,131.936
03/10/2024,132.495,131.672,-1,38,131.176,133.514
02/10/2024,131.817,133.515,0,77,132.495,134.922
01/10/2024,132.761,132.495,0,51,131.817,133.405
30/09/2024,132.761,131.816,-0,69,131.816,133.120
27/09/2024,133.010,132.730,-0,21,132.628,133.923
26/09/2024,132.156,133.010,1,08,131.594,133.313
25/09/2024,130.570,131.586,-0,43,131.489,132.982
24/09/2024,131.065,132.156,1,22,130.570,133.073
23/09/2024,131.065,130.568,-0,38,130.100,131.065
20/09/2024,133.748,131.065,-1,55,130.907,133.128
19/09/2024,134.960,133.123,-0,47,133.123,134.759
18/09/2024,134.960,133.748,-0,9,133.748,135.203
17/09/2024,134.885,134.960,-0,12,134.180,135.118
16/09/2024,134.885,135.118,0,18,134.870,135.715
13/09/2024,134.677,134.882,0,64,134.031,135.879
12/09/2024,134.319,134.029,-0,48,133.591,134.777
11/09/2024,134.738,134.677,0,27,133.757,135.087
10/09/2024,134.574,134.320,-0,31,133.754,134.738
09/09/2024,134.574,134.737,0,12,134.399,135.250
06/09/2024,136.112,134.572,-1,41,134.476,136.653
05/09/2024,134.359,136.502,0,29,135.959,136.656
04/09/2024,134.907,136.111,1,31,134.359,136.838
03/09/2024,136.004,134.353,-0,41,134.171,135.011
02/09/2024,136.004,134.906,-0,81,134.497,136.004
30/08/2024,137.349,136.004,-0,03,134.910,136.139
29/08/2024,136.776,136.041,-0,95,135.858,137.370
28/08/2024,136.888,137.344,0,42,135.746,137.469
27/08/2024,136.888,136.776,-0,08,136.664,137.213
26/08/2024,135.608,136.889,0,94,135.596,137.013
23/08/2024,135.174,135.608,0,32,135.174,136.478
22/08/2024,136.462,135.173,-0,95,134.836,136.462
21/08/2024,136.088,136.464,0,28,136.086,137.040
20/08/2024,135.779,136.087,0,23,135.312,136.330
19/08/2024,133.953,135.778,1,36,133.953,136.179
16/08/2024,134.154,133.953,-0,15,133.852,134.781
15/08/2024,133.319,134.153,0,63,133.319,134.575
14/08/2024,132.398,133.317,0,69,132.112,133.777
13/08/2024,131.115,132.398,0,84,131.115,132.430
12/08/2024,130.615,131.297,0,52,130.615,131.662
09/08/2024,128.662,130.615,1,52,128.662,130.631
08/08/2024,127.515,128.661,0,9,127.515,128.793
07/08/2024,126.268,127.514,0,99,126.268,127.517
06/08/2024,125.270,126.267,0,8,125.261,126.966
05/08/2024,125.851,125.270,-0,46,123.073,125.851
02/08/2024,127.395,125.854,-1,21,125.731,128.104
01/08/2024,127.652,127.395,-0,2,127.150,128.762
31/07/2024,126.139,127.652,1,2,126.139,127.853
30/07/2024,126.951,126.139,-0,64,125.973,126.951
29/07/2024,127.492,126.954,-0,42,126.606,127.657
26/07/2024,125.964,127.492,1,22,125.953,127.700
25/07/2024,126.423,125.954,-0,37,125.626,126.423
24/07/2024,126.596,126.423,-0,13,126.218,126.823
23/07/2024,127.860,126.590,-0,99,126.530,127.860
22/07/2024,127.616,127.860,0,19,127.456,128.151
19/07/2024,127.652,127.616,-0,03,127.413,128.360
18/07/2024,129.450,127.652,-1,39,127.523,129.454
17/07/2024,129.112,129.450,0,26,128.741,129.658
16/07/2024,129.322,129.110,-0,16,128.761,129.521
15/07/2024,128.898,129.321,0,33,128.723,129.485
12/07/2024,128.293,128.897,0,47,128.002,129.015
11/07/2024,127.221,128.294,0,85,127.221,128.326
10/07/2024,127.109,127.218,0,09,126.928,127.769
09/07/2024,126.548,127.108,0,44,125.937,127.295
08/07/2024,126.280,126.548,0,22,125.614,126.551
05/07/2024,125.666,126.267,0,08,125.556,126.662
04/07/2024,125.666,126.164,0,4,125.666,126.660
03/07/2024,124.720,125.662,0,7,124.787,126.581
02/07/2024,123.905,124.787,0,06,124.310,125.491
28/06/2024,122.642,123.907,-0,32,123.298,124.500
27/06/2024,122.331,124.308,1,36,122.642,124.308
26/06/2024,122.634,122.641,0,25,121.402,122.701
25/06/2024,122.634,122.331,-0,25,121.997,122.849
24/06/2024,121.343,122.637,1,07,121.307,122.840
21/06/2024,120.446,121.341,0,74,120.061,121.580
20/06/2024,120.267,120.446,0,15,120.156,121.607
19/06/2024,119.630,120.261,0,53,118.960,120.383
18/06/2024,119.138,119.630,0,41,118.872,120.109
17/06/2024,119.663,119.138,-0,44,118.685,119.663
14/06/2024,119.558,119.662,0,08,118.828,120.214
13/06/2024,119.936,119.568,-0,31,119.171,120.222
12/06/2024,121.644,119.936,-1,4,119.544,122.483
11/06/2024,120.760,121.635,0,73,120.757,121.759
10/06/2024,120.769,120.760,-0,01,120.540,121.421
07/06/2024,122.899,120.767,-1,73,120.679,122.899
06/06/2024,121.408,122.899,1,23,121.377,123.246
05/06/2024,121.803,121.407,-0,32,121.253,122.170
04/06/2024,122.032,121.802,-0,19,120.878,122.032
03/06/2024,122.100,122.032,-0,05,121.496,122.495
31/05/2024,122.704,122.098,-0,5,121.929,122.837
29/05/2024,123.780,122.707,-0,87,122.458,123.780
28/05/2024,124.498,123.780,-0,58,123.537,125.392
27/05/2024,124.297,124.496,0,15,124.081,124.535
24/05/2024,124.731,124.306,-0,34,124.259,125.257
23/05/2024,125.650,124.729,-0,73,124.431,125.665
22/05/2024,127.412,125.650,-1,38,125.524,127.412
21/05/2024,127.754,127.412,-0,27,127.205,128.272
20/05/2024,128.151,127.751,-0,31,127.488,128.730
17/05/2024,128.280,128.151,-0,1,127.696,128.464
16/05/2024,128.029,128.284,0,2,127.922,128.965
15/05/2024,128.514,128.028,-0,38,127.029,128.646
14/05/2024,128.155,128.515,0,28,127.962,128.965
13/05/2024,127.600,128.155,0,44,127.599,128.669
10/05/2024,128.188,127.600,-0,46,127.467,129.022
09/05/2024,129.468,128.188,-1,127.376,129.468
08/05/2024,129.210,129.481,0,21,128.048,129.564
07/05/2024,128.466,129.210,0,58,128.464,129.745
06/05/2024,128.506,128.466,-0,03,128.294,129.181
03/05/2024,127.130,128.509,1,09,127.130,128.787
02/05/2024,125.926,127.122,0,95,125.926,127.670
30/04/2024,127.352,125.924,-1,12,125.856,127.352
29/04/2024,126.527,127.352,0,65,126.467,127.352
26/04/2024,124.651,126.526,1,51,124.651,126.826
25/04/2024,124.718,124.646,-0,08,123.703,124.732
24/04/2024,125.149,124.741,-0,33,124.556,125.473
23/04/2024,125.572,125.148,-0,34,124.310,125.826
22/04/2024,125.124,125.573,0,36,124.633,126.081
19/04/2024,124.197,125.124,0,75,124.056,125.509
18/04/2024,124.171,124.196,0,02,123.397,125.140
17/04/2024,124.389,124.171,-0,17,123.642,125.301
16/04/2024,125.316,124.389,-0,75,123.756,125.316
15/04/2024,125.946,125.334,-0,49,125.034,126.250
12/04/2024,127.396,125.946,-1,14,125.635,127.640
11/04/2024,128.051,127.396,-0,51,127.069,128.051
10/04/2024,129.872,128.054,-1,41,127.732,129.872
09/04/2024,128.858,129.890,0,8,128.826,129.956
08/04/2024,126.796,128.857,1,63,126.796,129.178
05/04/2024,127.422,126.795,-0,5,126.394,127.432
04/04/2024,127.313,127.428,0,09,127.178,129.627
03/04/2024,127.546,127.318,-0,18,126.181,127.694
02/04/2024,126.990,127.549,0,44,126.669,127.654
01/04/2024,128.106,126.990,-0,87,126.772,128.659
